city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
4030556,Rikitea,PF,-23.12,-134.97,09/28/20,            74.82,79,3,6.35
3932145,Pisco,PE,-13.7,-76.22,09/28/20,            64.67,82,90,8.05
1607068,Ranot,TH,7.78,100.32,09/28/20,            80.47,77,100,7.16
3882582,Loncoche,CL,-39.37,-72.63,09/28/20,            54.5,66,75,2.24
2137748,Voh,NC,-20.97,164.7,09/28/20,            69.17,87,92,11.01
2155415,New Norfolk,AU,-42.78,147.06,09/28/20,            45.36,87,35,1.66
964420,Port Elizabeth,ZA,-33.92,25.57,09/28/20,            57.2,67,0,10.29
5960603,Geraldton,CA,49.73,-86.95,09/28/20,            51.8,93,90,3.36
2206939,Bluff,NZ,-46.6,168.33,09/28/20,            36,69,85,21.99
5855927,Hilo,US,19.73,-155.09,09/28/20,            68.32,73,20,5.82
2094342,Kavieng,PG,-2.57,150.8,09/28/20,            80.98,75,100,6.2
6185377,Yellowknife,CA,62.46,-114.35,09/28/20,            47.35,93,40,9.17
3831208,Qaanaaq,GL,77.48,-69.36,09/28/20,            14.32,80,0,8.63
2181625,Te Anau,NZ,-45.42,167.72,09/28/20,            28.33,94,74,3.42
3896218,Castro,CL,-42.47,-73.77,09/28/20,            49.51,93,100,4.63
1067565,Beloha,MG,-25.17,45.05,09/28/20,            71.58,75,1,4.68
2521582,Arona,ES,28.1,-16.68,09/28/20,            74.28,57,40,16.11
6050066,La Ronge,CA,55.1,-105.28,09/28/20,            50,81,90,11.41
298033,Viranşehir,TR,37.24,39.76,09/28/20,            81.59,16,0,10.76
1106677,Bambous Virieux,MU,-20.34,57.76,09/28/20,            73.69,83,75,6.93
3372472,Vila Franca do Campo,PT,37.72,-25.43,09/28/20,            73.4,78,20,13.87
2163355,Hobart,AU,-42.88,147.33,09/28/20,            45.63,81,90,4.7
3871616,Santa Cruz,CL,-34.63,-71.37,09/28/20,            65.46,48,100,8.05
3652764,Puerto Ayora,EC,-0.74,-90.35,09/28/20,            72.54,64,40,12.75
3672086,Pizarro,CO,4.95,-77.37,09/28/20,            82.85,70,34,7.74
3355672,Lüderitz,NA,-26.65,15.16,09/28/20,            59.68,53,4,27
964432,Port Alfred,ZA,-33.59,26.89,09/28/20,            56.95,62,0,6.6
2861443,Immenstadt,DE,47.56,10.22,09/28/20,            45.52,79,97,1.01
4034551,Faanui,PF,-16.48,-151.75,09/28/20,            78.26,79,13,18.48
2075265,Busselton,AU,-33.65,115.33,09/28/20,            52.57,80,86,13.15
2246901,Oussouye,SN,12.48,-16.55,09/28/20,            87.76,70,20,4.7
3466165,Cidreira,BR,-30.18,-50.21,09/28/20,            66.63,61,48,12.35
3833367,Ushuaia,AR,-54.8,-68.3,09/28/20,            37.4,64,75,11.41
3446295,Torres,BR,-29.34,-49.73,09/28/20,            71.08,56,17,17.85
3899695,Ancud,CL,-41.87,-73.82,09/28/20,            48.49,93,100,16.31
4035715,Avarua,CK,-21.21,-159.78,09/28/20,            71.6,78,87,5.82
1830377,Lumphat,KH,13.49,106.98,09/28/20,            73.02,97,98,1.83
286621,Salalah,OM,17.02,54.09,09/28/20,            80.6,78,82,8.05
2127202,Anadyr,RU,64.75,177.48,09/28/20,            39.09,80,75,11.79
5880054,Barrow,US,71.29,-156.79,09/28/20,            30.2,86,75,9.17
1006984,East London,ZA,-33.02,27.91,09/28/20,            59,67,18,3.36
3407762,Amapá,BR,1,-52,09/28/20,            96.22,34,0,6.51
1899102,Nagato,JP,34.38,131.2,09/28/20,            63.01,77,75,4.7
241131,Victoria,SC,-4.62,55.45,09/28/20,            80.6,78,20,1.12
3874787,Punta Arenas,CL,-53.15,-70.92,09/28/20,            42.4,48,40,20.8
605155,Kiruna,SE,67.86,20.23,09/28/20,            44.6,93,31,11.41
3115824,Muros,ES,42.78,-9.06,09/28/20,            63.88,74,100,11.01
3461370,Imbituba,BR,-28.24,-48.67,09/28/20,            68,77,75,17.22
3361934,Saldanha,ZA,-33.01,17.94,09/28/20,            57.2,71,3,10.29
2448245,Abalak,NE,15.45,6.28,09/28/20,            98.22,15,83,7.11
3466980,Caravelas,BR,-17.71,-39.25,09/28/20,            81.93,61,0,11.97
4036284,Alofi,NU,-19.06,-169.92,09/28/20,            73.4,100,12,8.05
2035601,Mergen,CN,49.18,125.22,09/28/20,            42.78,80,0,5.23
1079048,Ambovombe,MG,-25.17,46.08,09/28/20,            72.79,77,0,1.83
5053485,Wright,US,45.18,-93.95,09/28/20,            52.14,71,71,11.41
3183364,Alba,IT,44.7,8.03,09/28/20,            55.9,62,0,3.36
5004223,Oakland,US,42.67,-83.4,09/28/20,            56.62,93,90,6.93
3370903,Jamestown,SH,-15.94,-5.72,09/28/20,            62.02,87,72,20.49
1058381,Morondava,MG,-20.28,44.28,09/28/20,            77.29,80,3,15.48
2303611,Esim,GH,4.87,-2.24,09/28/20,            77.07,86,32,6.96
3369157,Cape Town,ZA,-33.93,18.42,09/28/20,            54.72,82,40,6.93
3573061,Saint George,BM,32.38,-64.68,09/28/20,            79.9,74,20,10.29
2077963,Albany,AU,-35.02,117.89,09/28/20,            50,87,55,10.29
3418910,Upernavik,GL,72.79,-56.15,09/28/20,            28.17,95,98,12.66
2126123,Chokurdakh,RU,70.63,147.92,09/28/20,            41.2,75,87,6.87
2122090,Pevek,RU,69.7,170.31,09/28/20,            34.95,85,0,12.24
691650,Petrykiv,UA,49.53,25.58,09/28/20,            62.01,69,94,8.01
1520969,Merke,KZ,42.87,73.18,09/28/20,            50,46,78,2.59
5848280,Kapaa,US,22.08,-159.32,09/28/20,            76.03,83,75,10.29
3691582,Talara,PE,-4.58,-81.27,09/28/20,            73.4,69,14,12.75
5486795,Raton,US,36.9,-104.44,09/28/20,            48.7,36,90,10.29
2618795,Klaksvík,FO,62.23,-6.59,09/28/20,            50,87,83,12.75
184570,Namanga,KE,-2.54,36.79,09/28/20,            74.35,54,75,12.41
2027042,Batagay-Alyta,RU,67.8,130.41,09/28/20,            30.38,91,10,4.21
5563397,Eureka,US,40.8,-124.16,09/28/20,            74.97,28,75,4.7
2074865,Carnarvon,AU,-24.87,113.63,09/28/20,            66.2,82,0,12.75
2017155,Saskylakh,RU,71.92,114.08,09/28/20,            30.85,98,100,19.73
1495626,Pangody,RU,65.85,74.49,09/28/20,            35.62,86,24,8.77
3430863,Mar del Plata,AR,-38,-57.56,09/28/20,            59,58,20,13.87
352733,Marsá Maţrūḩ,EG,31.35,27.25,09/28/20,            80.6,74,0,8.05
5961417,Gimli,CA,50.63,-96.99,09/28/20,            53.71,99,97,17
6167817,Torbay,CA,47.67,-52.73,09/28/20,            66.92,88,75,24.16
3386213,Touros,BR,-5.2,-35.46,09/28/20,            84.2,66,40,16.11
2020838,Lensk,RU,60.73,114.93,09/28/20,            46.27,81,100,13.76
528109,Mednogorsk,RU,51.41,57.59,09/28/20,            53.31,58,87,4.94
3618522,Laguna de Perlas,NI,12.34,-83.67,09/28/20,            84.2,83,40,4.7
1529484,Kumul,CN,42.8,93.45,09/28/20,            63.61,27,98,4.45
2014694,Tyrma,RU,50.08,132.17,09/28/20,            43.34,90,39,3.56
3404558,Cabedelo,BR,-6.98,-34.83,09/28/20,            84.2,66,75,12.75
3985710,Cabo San Lucas,MX,22.89,-109.91,09/28/20,            88.56,66,5,4.7
5557293,Sitka,US,57.05,-135.33,09/28/20,            53.6,76,75,8.05
2121385,Severo-Kuril'sk,RU,50.68,156.12,09/28/20,            50.47,88,97,21
4020109,Atuona,PF,-9.8,-139.03,09/28/20,            77.92,72,3,15.26
1528998,Yumen,CN,40.28,97.2,09/28/20,            50.41,70,1,7.43
2012956,Yerbogachën,RU,61.28,108.01,09/28/20,            44.69,80,100,13.65
5493403,Sunland Park,US,31.8,-106.58,09/28/20,            67.33,28,1,8.05
2013375,Vitim,RU,59.45,112.56,09/28/20,            44.71,79,100,12.03
3457135,Miracatu,BR,-24.28,-47.46,09/28/20,            93.45,45,100,0.87
98182,Baghdad,IQ,33.34,44.4,09/28/20,            89.6,22,0,10.29
3134404,Tolga,NO,62.41,11,09/28/20,            53.6,93,23,13.87
2121025,Srednekolymsk,RU,67.45,153.68,09/28/20,            42.49,64,99,3.87
2126785,Belaya Gora,RU,68.53,146.42,09/28/20,            40.44,78,0,4.47
367544,Sawākin,SD,19.11,37.33,09/28/20,            88.03,59,4,6.82
934322,Mahébourg,MU,-20.41,57.7,09/28/20,            73.4,83,75,6.93
763534,Nowy Sącz,PL,49.62,20.7,09/28/20,            53.62,100,100,7
964712,Plettenberg Bay,ZA,-34.05,23.37,09/28/20,            54.37,66,0,7.81
2121909,Poronaysk,RU,49.22,143.12,09/28/20,            54.27,88,98,8.21
1259385,Port Blair,IN,11.67,92.75,09/28/20,            78.62,86,100,15.7
2033147,Zhaozhou,CN,45.68,125.32,09/28/20,            45.27,81,37,8.32
3516376,Tamiahua,MX,21.27,-97.45,09/28/20,            87.06,73,39,5.79
2299625,Kintampo,GH,8.06,-1.73,09/28/20,            78.3,77,23,0.78
161616,Balkanabat,TM,39.51,54.37,09/28/20,            63.64,27,0,11.7
2013216,Vysokogornyy,RU,50.12,139.15,09/28/20,            45.25,91,100,8.52
3424607,Tasiilaq,GL,65.61,-37.64,09/28/20,            35.6,80,100,16.11
6100086,Peachland,CA,49.77,-119.74,09/28/20,            58.06,66,1,3.36
511359,Pereslavl'-Zalesskiy,RU,56.74,38.86,09/28/20,            50.63,69,99,8.99
3459094,Laguna,BR,-28.48,-48.78,09/28/20,            66.38,71,67,13.44
3374210,São Filipe,CV,14.9,-24.5,09/28/20,            81.7,79,45,11.21
2110227,Butaritari,KI,3.07,172.79,09/28/20,            81.55,74,91,13.67
739209,Suşehri,TR,40.16,38.09,09/28/20,            66.81,47,0,3.89
3137469,Sørland,NO,67.67,12.69,09/28/20,            53.6,93,75,6.93
1525798,Balkhash,KZ,46.84,74.98,09/28/20,            46.18,56,21,15.9
933995,Souillac,MU,-20.52,57.52,09/28/20,            73.4,83,75,6.93
3374346,Ponta do Sol,CV,17.2,-25.09,09/28/20,            91.4,55,75,19.46
6165406,Thompson,CA,55.74,-97.86,09/28/20,            41,86,90,2.24
5983720,Iqaluit,CA,63.75,-68.51,09/28/20,            26.29,86,90,8.05
2206900,Westport,NZ,-41.75,171.6,09/28/20,            43.25,74,100,24.07
